source_address,stay_seg,stayWiFi_start,stayWiFi_end,stayWiFi_x,stayWiFi_y,n_windows,sensor_name,stayWiFi_duration,id_stayWiFi,matched
08:ae:d6:4c:38:d9,29,2019-10-29T16:56:40Z,2019-10-29T17:00:00Z,398694.860901796,332932.071264492,10,sensor_bus_station,200,57,FALSE
08:ae:d6:4c:38:d9,107,2019-11-10T18:15:20Z,2019-11-10T18:21:40Z,398694.860901796,332932.071264492,14,sensor_bus_station,380,59,FALSE
08:ae:d6:4c:38:d9,163,2019-11-11T16:59:00Z,2019-11-11T17:03:40Z,398694.860901796,332932.071264492,14,sensor_bus_station,280,61,FALSE
08:ae:d6:4c:38:d9,188,2019-11-14T14:17:00Z,2019-11-14T14:21:00Z,398249.183444569,333246.955554579,8,sensor_parking_dorm,240,62,FALSE
08:ae:d6:4c:38:d9,203,2019-11-14T16:43:40Z,2019-11-14T16:47:40Z,398694.860901796,332932.071264492,12,sensor_bus_station,240,63,FALSE
08:ae:d6:51:4d:85,22,2019-10-21T20:57:00Z,2019-10-21T21:01:00Z,398694.860901796,332932.071264492,12,sensor_bus_station,240,64,FALSE
08:ae:d6:51:4d:85,23,2019-10-21T22:00:00Z,2019-10-21T22:03:40Z,398694.860901796,332932.071264492,11,sensor_bus_station,220,65,FALSE
08:ae:d6:51:4d:85,36,2019-10-22T00:50:40Z,2019-10-22T00:55:20Z,398694.860901796,332932.071264492,14,sensor_bus_station,280,66,FALSE
08:ae:d6:51:4d:85,37,2019-10-22T01:03:40Z,2019-10-22T01:07:40Z,398694.860901796,332932.071264492,12,sensor_bus_station,240,67,FALSE
08:ae:d6:51:4d:85,65,2019-10-24T06:15:00Z,2019-10-24T06:19:00Z,398694.860901796,332932.071264492,12,sensor_bus_station,240,68,FALSE
08:ae:d6:51:4d:85,85,2019-10-24T16:20:20Z,2019-10-24T16:23:20Z,398694.860901796,332932.071264492,9,sensor_bus_station,180,69,FALSE
08:ae:d6:51:4d:85,108,2019-10-24T19:27:00Z,2019-10-24T19:30:40Z,398694.860901796,332932.071264492,11,sensor_bus_station,220,70,FALSE
08:ae:d6:51:4d:85,109,2019-10-24T20:20:40Z,2019-10-24T20:23:40Z,398694.860901796,332932.071264492,9,sensor_bus_station,180,71,FALSE
08:ae:d6:51:4d:85,140,2019-10-25T16:48:00Z,2019-10-25T16:52:20Z,398694.860901796,332932.071264492,11,sensor_bus_station,260,73,FALSE
08:ae:d6:51:4d:85,143,2019-10-25T17:03:20Z,2019-10-25T17:08:00Z,398694.860901796,332932.071264492,14,sensor_bus_station,280,74,FALSE
08:ae:d6:51:4d:85,146,2019-10-27T13:46:20Z,2019-10-27T13:49:20Z,398330.524037958,333242.820502496,8,sensor_dorm_front,180,76,FALSE
08:ae:d6:5e:ec:bb,2,2019-10-25T12:47:40Z,2019-10-25T12:50:40Z,398364.514269459,333159.432104367,9,sensor_TMB_back,180,80,FALSE
08:ae:d6:5e:ec:bb,25,2019-10-26T23:34:20Z,2019-10-26T23:37:20Z,398409.881202589,333224.610229559,9,sensor_cafeteria_dorm_side,180,82,FALSE
08:ae:d6:5e:ec:bb,36,2019-10-27T09:38:40Z,2019-10-27T09:42:00Z,398694.860901796,332932.071264492,10,sensor_bus_station,200,83,FALSE
08:ae:d6:5e:ec:bb,94,2019-10-28T16:53:20Z,2019-10-28T16:56:20Z,398249.183444569,333246.955554579,8,sensor_parking_dorm,180,84,FALSE
08:ae:d6:5e:ec:bb,191,2019-10-30T01:02:20Z,2019-10-30T01:05:40Z,398630.282400965,333061.079076782,9,sensor_football_field_front,200,85,FALSE
08:ae:d6:5e:ec:bb,269,2019-11-01T02:15:00Z,2019-11-01T02:18:00Z,398330.524037958,333242.820502496,7,sensor_dorm_front,180,87,FALSE
08:ae:d6:5e:ec:bb,410,2019-11-07T17:12:40Z,2019-11-07T17:17:40Z,398492.561616873,332848.135245204,14,sensor_lake,300,89,FALSE
08:ae:d6:5e:ec:bb,532,2019-11-14T01:03:00Z,2019-11-14T01:06:40Z,398330.524037958,333242.820502496,9,sensor_dorm_front,220,90,FALSE
08:ae:d6:63:49:ef,8,2019-10-21T14:52:00Z,2019-10-21T14:56:20Z,398249.183444569,333246.955554579,10,sensor_parking_dorm,260,91,FALSE
08:ae:d6:63:49:ef,101,2019-10-25T16:18:00Z,2019-10-25T16:21:20Z,398694.860901796,332932.071264492,10,sensor_bus_station,200,92,FALSE
08:ae:d6:63:49:ef,280,2019-11-01T13:34:40Z,2019-11-01T13:38:00Z,398249.183444569,333246.955554579,7,sensor_parking_dorm,200,96,FALSE
08:ae:d6:63:49:ef,634,2019-11-12T21:57:20Z,2019-11-12T22:00:20Z,398249.183444569,333246.955554579,5,sensor_parking_dorm,180,99,FALSE
08:ae:d6:65:75:23,63,2019-10-23T18:46:20Z,2019-10-23T18:49:20Z,398439.932439304,333169.881568267,9,sensor_gym_front,180,100,FALSE
08:ae:d6:65:75:23,97,2019-10-26T18:29:40Z,2019-10-26T18:32:40Z,398409.881202589,333224.610229559,9,sensor_cafeteria_dorm_side,180,101,FALSE
08:ae:d6:65:75:23,102,2019-10-26T23:28:40Z,2019-10-26T23:31:40Z,398409.881202589,333224.610229559,9,sensor_cafeteria_dorm_side,180,102,FALSE
08:ae:d6:65:75:23,104,2019-10-27T08:37:40Z,2019-10-27T08:43:40Z,398330.524037958,333242.820502496,17,sensor_dorm_front,360,103,FALSE
08:ae:d6:65:75:23,292,2019-11-01T19:39:00Z,2019-11-01T19:42:00Z,398364.514269459,333159.432104367,8,sensor_TMB_back,180,107,FALSE
08:ae:d6:a4:5a:c3,44,2019-10-22T03:08:40Z,2019-10-22T03:12:00Z,398386.289936451,332954.428919774,10,sensor_202_front,200,110,FALSE
