source_address,n_days,visitor_type,device_class
00:3d:e8:c6:9a:8a,1,One-time (1 day),Interview-only (Outsider)
00:3d:e8:c6:b1:06,1,One-time (1 day),Interview-only (Outsider)
00:3d:e8:c6:b7:a0,1,One-time (1 day),Not seen during interview
00:3d:e8:c7:31:c0,5,Occasional (3-9 days),Not seen during interview
00:3d:e8:c7:49:30,1,One-time (1 day),Not seen during interview
00:3d:e8:c7:7c:5f,1,One-time (1 day),Not seen during interview
00:3d:e8:c9:29:b8,1,One-time (1 day),Interview-only (Outsider)
00:3d:e8:c9:2e:09,1,One-time (1 day),Not seen during interview
00:3d:e8:c9:87:62,1,One-time (1 day),Not seen during interview
00:3d:e8:c9:a8:d7,1,One-time (1 day),Not seen during interview
00:3d:e8:ca:45:6b,1,One-time (1 day),Not seen during interview
00:3d:e8:ca:48:6e,1,One-time (1 day),Not seen during interview
00:3d:e8:cb:09:c5,1,One-time (1 day),Not seen during interview
00:3d:e8:cb:0c:b8,1,One-time (1 day),Interview-only (Outsider)
00:3d:e8:ce:36:6b,9,Occasional (3-9 days),Campus member (seen during interview)
00:3d:e8:ce:9b:8e,1,One-time (1 day),Interview-only (Outsider)
00:3d:e8:cf:68:7f,1,One-time (1 day),Not seen during interview
00:3d:e8:d0:3d:7f,8,Occasional (3-9 days),Not seen during interview
00:3d:e8:d1:50:d4,1,One-time (1 day),Interview-only (Outsider)
00:3d:e8:d3:13:d7,1,One-time (1 day),Not seen during interview
00:3d:e8:d3:1e:e0,1,One-time (1 day),Not seen during interview
00:3d:e8:d3:ac:cc,3,Occasional (3-9 days),Not seen during interview
00:3d:e8:d4:07:d5,1,One-time (1 day),Not seen during interview
00:3d:e8:d4:08:d2,1,One-time (1 day),Interview-only (Outsider)
00:3d:e8:d4:12:7f,4,Occasional (3-9 days),Not seen during interview
00:3d:e8:d4:2d:5c,1,One-time (1 day),Interview-only (Outsider)
00:3d:e8:d4:2e:c8,1,One-time (1 day),Interview-only (Outsider)
00:3d:e8:d4:94:69,1,One-time (1 day),Not seen during interview
00:3d:e8:dd:1b:b6,11,Regular (10-19 days),Campus member (seen during interview)
00:3d:e8:dd:20:f2,1,One-time (1 day),Not seen during interview
00:3d:e8:dd:39:c6,2,Rare (2 days),Not seen during interview
00:3d:e8:dd:39:db,1,One-time (1 day),Not seen during interview
00:3d:e8:dd:41:7a,2,Rare (2 days),Not seen during interview
00:3d:e8:dd:82:b0,1,One-time (1 day),Not seen during interview
00:3d:e8:dd:83:8f,1,One-time (1 day),Not seen during interview
00:3d:e8:df:7e:52,1,One-time (1 day),Interview-only (Outsider)
00:3d:e8:e0:74:10,1,One-time (1 day),Interview-only (Outsider)
00:3d:e8:e0:ee:b8,1,One-time (1 day),Not seen during interview
00:3d:e8:e1:2e:19,5,Occasional (3-9 days),Not seen during interview
00:3d:e8:e1:92:b7,1,One-time (1 day),Interview-only (Outsider)
00:3d:e8:e1:e7:91,1,One-time (1 day),Not seen during interview
00:3d:e8:e2:55:5e,1,One-time (1 day),Interview-only (Outsider)
00:3d:e8:e9:2d:32,13,Regular (10-19 days),Not seen during interview
