source_address,n_days,visitor_type,device_class
34:42:62:02:0c:7e,5,Occasional (3-9 days),Not seen during interview
34:42:62:02:71:4f,7,Occasional (3-9 days),Not seen during interview
34:42:62:03:4b:46,16,Regular (10-19 days),Not seen during interview
34:42:62:03:62:1b,13,Regular (10-19 days),Campus member (seen during interview)
34:42:62:03:65:2f,16,Regular (10-19 days),Campus member (seen during interview)
34:42:62:03:a6:a3,24,Resident (20+ days),Campus member (seen during interview)
34:42:62:03:de:a1,7,Occasional (3-9 days),Not seen during interview
34:42:62:04:6b:5d,15,Regular (10-19 days),Campus member (seen during interview)
34:42:62:04:9d:f1,15,Regular (10-19 days),Not seen during interview
34:42:62:06:62:96,14,Regular (10-19 days),Not seen during interview
34:42:62:06:71:10,1,One-time (1 day),Interview-only (Outsider)
34:42:62:06:9d:28,11,Regular (10-19 days),Not seen during interview
34:42:62:07:09:2a,24,Resident (20+ days),Campus member (seen during interview)
34:42:62:07:11:e6,10,Regular (10-19 days),Not seen during interview
34:42:62:07:15:86,18,Regular (10-19 days),Campus member (seen during interview)
34:42:62:07:f2:69,1,One-time (1 day),Not seen during interview
34:42:62:08:81:1b,16,Regular (10-19 days),Campus member (seen during interview)
34:42:62:08:9d:ca,21,Resident (20+ days),Not seen during interview
34:42:62:09:7b:1d,1,One-time (1 day),Interview-only (Outsider)
34:42:62:0b:40:a1,15,Regular (10-19 days),Campus member (seen during interview)
34:42:62:0b:55:7a,8,Occasional (3-9 days),Not seen during interview
34:42:62:0b:88:6a,10,Regular (10-19 days),Not seen during interview
34:42:62:0c:5b:3f,25,Resident (20+ days),Campus member (seen during interview)
34:42:62:0d:86:16,1,One-time (1 day),Interview-only (Outsider)
34:42:62:0d:f1:ca,4,Occasional (3-9 days),Not seen during interview
34:42:62:0e:5e:24,18,Regular (10-19 days),Not seen during interview
34:42:62:0e:c3:57,1,One-time (1 day),Not seen during interview
34:42:62:0e:f5:09,1,One-time (1 day),Interview-only (Outsider)
34:42:62:10:5c:48,18,Regular (10-19 days),Not seen during interview
34:42:62:11:64:ca,16,Regular (10-19 days),Campus member (seen during interview)
34:42:62:11:6b:cd,19,Regular (10-19 days),Campus member (seen during interview)
34:42:62:12:7d:2f,16,Regular (10-19 days),Campus member (seen during interview)
34:42:62:15:0b:71,22,Resident (20+ days),Not seen during interview
34:42:62:17:1b:cb,1,One-time (1 day),Not seen during interview
34:42:62:1d:e0:db,4,Occasional (3-9 days),Not seen during interview
34:42:62:1e:52:b0,22,Resident (20+ days),Campus member (seen during interview)
34:42:62:20:1a:b3,2,Rare (2 days),Not seen during interview
34:42:62:20:7b:45,16,Regular (10-19 days),Not seen during interview
34:42:62:24:9d:26,2,Rare (2 days),Not seen during interview
34:42:62:25:42:35,22,Resident (20+ days),Campus member (seen during interview)
34:42:62:26:25:66,22,Resident (20+ days),Campus member (seen during interview)
34:42:62:28:41:93,8,Occasional (3-9 days),Not seen during interview
34:42:62:35:2d:43,9,Occasional (3-9 days),Not seen during interview
34:42:62:3f:f0:63,19,Regular (10-19 days),Campus member (seen during interview)
34:42:62:43:9a:44,1,One-time (1 day),Not seen during interview
34:42:62:43:fc:da,11,Regular (10-19 days),Not seen during interview
34:42:62:46:aa:36,2,Rare (2 days),Not seen during interview
34:42:62:48:9e:10,12,Regular (10-19 days),Not seen during interview
34:42:62:49:7f:98,22,Resident (20+ days),Campus member (seen during interview)
34:42:62:4c:48:6e,19,Regular (10-19 days),Campus member (seen during interview)
34:42:62:4e:ad:91,23,Resident (20+ days),Campus member (seen during interview)
34:42:62:4f:dd:b2,11,Regular (10-19 days),Campus member (seen during interview)
34:42:62:5a:fa:30,15,Regular (10-19 days),Not seen during interview
34:42:62:5b:7b:a9,19,Regular (10-19 days),Campus member (seen during interview)
34:42:62:5b:b9:a0,25,Resident (20+ days),Campus member (seen during interview)
34:42:62:5c:28:5a,13,Regular (10-19 days),Campus member (seen during interview)
34:42:62:5f:76:f7,16,Regular (10-19 days),Not seen during interview
34:42:62:60:aa:1d,6,Occasional (3-9 days),Not seen during interview
34:42:62:62:06:31,20,Resident (20+ days),Not seen during interview
34:42:62:62:20:ae,15,Regular (10-19 days),Campus member (seen during interview)
34:42:62:62:a5:56,1,One-time (1 day),Not seen during interview
34:42:62:64:69:6d,19,Regular (10-19 days),Campus member (seen during interview)
34:42:62:65:49:3c,9,Occasional (3-9 days),Campus member (seen during interview)
34:42:62:66:ad:06,25,Resident (20+ days),Campus member (seen during interview)
34:42:62:66:ea:98,19,Regular (10-19 days),Campus member (seen during interview)
34:42:62:67:8e:0c,16,Regular (10-19 days),Not seen during interview
34:42:62:68:f6:11,17,Regular (10-19 days),Campus member (seen during interview)
34:42:62:6c:13:e7,19,Regular (10-19 days),Campus member (seen during interview)
34:42:62:6d:a5:f1,11,Regular (10-19 days),Campus member (seen during interview)
34:42:62:6d:f3:f0,22,Resident (20+ days),Campus member (seen during interview)
34:42:62:6e:20:cb,14,Regular (10-19 days),Campus member (seen during interview)
34:42:62:6e:ec:a4,8,Occasional (3-9 days),Campus member (seen during interview)
34:42:62:72:db:4c,8,Occasional (3-9 days),Not seen during interview
34:42:62:73:4b:03,16,Regular (10-19 days),Not seen during interview
34:42:62:73:9b:f3,20,Resident (20+ days),Campus member (seen during interview)
34:42:62:77:14:3a,1,One-time (1 day),Interview-only (Outsider)
34:42:62:7d:9e:19,17,Regular (10-19 days),Campus member (seen during interview)
34:42:62:7e:8a:10,10,Regular (10-19 days),Not seen during interview
34:42:62:7f:26:18,25,Resident (20+ days),Campus member (seen during interview)
34:42:62:7f:81:18,16,Regular (10-19 days),Campus member (seen during interview)
34:42:62:7f:b8:3a,21,Resident (20+ days),Not seen during interview
34:42:62:80:32:c7,22,Resident (20+ days),Campus member (seen during interview)
34:42:62:83:5d:9f,18,Regular (10-19 days),Campus member (seen during interview)
34:42:62:8e:26:73,17,Regular (10-19 days),Campus member (seen during interview)
34:42:62:90:ac:f3,18,Regular (10-19 days),Campus member (seen during interview)
34:42:62:94:6b:ee,2,Rare (2 days),Campus member (seen during interview)
34:42:62:99:76:c4,3,Occasional (3-9 days),Not seen during interview
34:4d:f7:4a:3c:53,2,Rare (2 days),Not seen during interview
34:4d:f7:7a:c1:92,2,Rare (2 days),Campus member (seen during interview)
34:4d:f7:7f:05:1f,1,One-time (1 day),Interview-only (Outsider)
34:4d:f7:7f:9d:70,2,Rare (2 days),Campus member (seen during interview)
34:79:16:da:c1:35,22,Resident (20+ days),Campus member (seen during interview)
34:7c:25:7e:4e:19,24,Resident (20+ days),Campus member (seen during interview)
34:7c:25:c9:d6:6d,3,Occasional (3-9 days),Not seen during interview
34:8a:7b:2c:a9:ac,1,One-time (1 day),Not seen during interview
34:8a:7b:2c:aa:c2,1,One-time (1 day),Not seen during interview
34:8a:7b:2c:ae:9c,25,Resident (20+ days),Campus member (seen during interview)
34:8a:7b:3b:4e:92,1,One-time (1 day),Not seen during interview
34:8a:7b:48:17:b0,16,Regular (10-19 days),Campus member (seen during interview)
34:8a:7b:5d:e2:54,6,Occasional (3-9 days),Campus member (seen during interview)
34:8a:7b:73:8a:34,1,One-time (1 day),Interview-only (Outsider)
34:8a:7b:79:1b:ea,4,Occasional (3-9 days),Campus member (seen during interview)
34:8a:7b:8b:dc:20,3,Occasional (3-9 days),Not seen during interview
34:8a:7b:ad:8e:aa,10,Regular (10-19 days),Campus member (seen during interview)
34:8a:7b:cc:76:f6,1,One-time (1 day),Interview-only (Outsider)
34:8a:7b:cc:7a:48,1,One-time (1 day),Interview-only (Outsider)
34:8a:7b:e6:ba:ca,19,Regular (10-19 days),Campus member (seen during interview)
34:8a:7b:e6:d4:68,3,Occasional (3-9 days),Not seen during interview
34:8a:7b:fe:56:34,1,One-time (1 day),Interview-only (Outsider)
34:8a:7b:fe:58:98,1,One-time (1 day),Interview-only (Outsider)
34:a3:95:32:6e:23,4,Occasional (3-9 days),Campus member (seen during interview)
34:a3:95:40:c2:60,3,Occasional (3-9 days),Not seen during interview
34:a8:eb:09:51:51,12,Regular (10-19 days),Campus member (seen during interview)
34:a8:eb:0a:ae:16,1,One-time (1 day),Not seen during interview
34:a8:eb:10:2e:37,6,Occasional (3-9 days),Not seen during interview
34:a8:eb:12:35:27,1,One-time (1 day),Interview-only (Outsider)
34:a8:eb:3e:9a:88,8,Occasional (3-9 days),Not seen during interview
34:a8:eb:44:3b:82,18,Regular (10-19 days),Not seen during interview
34:a8:eb:4b:dc:d1,22,Resident (20+ days),Campus member (seen during interview)
34:a8:eb:51:ce:cd,1,One-time (1 day),Not seen during interview
34:a8:eb:53:7b:0b,17,Regular (10-19 days),Campus member (seen during interview)
34:a8:eb:54:a9:8c,1,One-time (1 day),Not seen during interview
34:a8:eb:55:5f:d3,12,Regular (10-19 days),Campus member (seen during interview)
34:a8:eb:55:82:95,1,One-time (1 day),Not seen during interview
34:a8:eb:55:a7:45,4,Occasional (3-9 days),Not seen during interview
34:a8:eb:58:8e:70,11,Regular (10-19 days),Campus member (seen during interview)
34:a8:eb:5a:39:05,1,One-time (1 day),Not seen during interview
34:a8:eb:60:99:b8,20,Resident (20+ days),Campus member (seen during interview)
34:a8:eb:61:fc:7f,15,Regular (10-19 days),Not seen during interview
34:a8:eb:63:6c:fb,3,Occasional (3-9 days),Not seen during interview
34:a8:eb:64:21:57,23,Resident (20+ days),Campus member (seen during interview)
34:a8:eb:65:9b:b0,12,Regular (10-19 days),Campus member (seen during interview)
34:a8:eb:67:3e:39,16,Regular (10-19 days),Not seen during interview
34:a8:eb:69:9e:a3,21,Resident (20+ days),Not seen during interview
34:a8:eb:71:7a:66,19,Regular (10-19 days),Campus member (seen during interview)
34:a8:eb:75:08:91,14,Regular (10-19 days),Not seen during interview
34:a8:eb:79:65:27,12,Regular (10-19 days),Campus member (seen during interview)
34:a8:eb:80:bd:55,11,Regular (10-19 days),Not seen during interview
34:a8:eb:81:4d:2b,18,Regular (10-19 days),Campus member (seen during interview)
34:a8:eb:86:ad:cf,1,One-time (1 day),Interview-only (Outsider)
34:a8:eb:8a:09:d3,1,One-time (1 day),Not seen during interview
34:a8:eb:8b:83:00,2,Rare (2 days),Not seen during interview
34:a8:eb:a0:04:66,7,Occasional (3-9 days),Not seen during interview
34:a8:eb:a1:69:b3,12,Regular (10-19 days),Not seen during interview
34:a8:eb:a2:51:b6,1,One-time (1 day),Not seen during interview
34:a8:eb:a2:5f:75,2,Rare (2 days),Not seen during interview
34:a8:eb:a3:85:14,1,One-time (1 day),Not seen during interview
34:a8:eb:a7:03:55,3,Occasional (3-9 days),Not seen during interview
34:a8:eb:a9:56:44,1,One-time (1 day),Not seen during interview
34:a8:eb:a9:a9:22,1,One-time (1 day),Interview-only (Outsider)
34:a8:eb:ac:48:79,1,One-time (1 day),Not seen during interview
34:a8:eb:ad:d1:a1,16,Regular (10-19 days),Not seen during interview
34:a8:eb:b4:45:e0,1,One-time (1 day),Not seen during interview
34:a8:eb:b4:9b:37,1,One-time (1 day),Not seen during interview
34:a8:eb:b8:60:ea,20,Resident (20+ days),Campus member (seen during interview)
34:a8:eb:bb:df:d6,19,Regular (10-19 days),Campus member (seen during interview)
34:a8:eb:c1:9e:0a,26,Resident (20+ days),Campus member (seen during interview)
34:a8:eb:c3:6c:91,1,One-time (1 day),Not seen during interview
34:a8:eb:c7:3f:d0,14,Regular (10-19 days),Campus member (seen during interview)
34:a8:eb:c9:3b:16,1,One-time (1 day),Interview-only (Outsider)
34:a8:eb:df:c6:77,1,One-time (1 day),Not seen during interview
34:a8:eb:eb:90:64,22,Resident (20+ days),Campus member (seen during interview)
34:a8:eb:ee:c1:99,1,One-time (1 day),Not seen during interview
34:a8:eb:f0:a0:3d,1,One-time (1 day),Interview-only (Outsider)
34:a8:eb:f3:b0:fe,1,One-time (1 day),Interview-only (Outsider)
34:aa:8b:1d:4e:20,3,Occasional (3-9 days),Not seen during interview
34:ab:37:14:0c:a5,4,Occasional (3-9 days),Campus member (seen during interview)
34:ab:37:2e:c1:f7,7,Occasional (3-9 days),Not seen during interview
34:ab:37:39:51:1b,2,Rare (2 days),Not seen during interview
34:ab:37:45:4f:77,19,Regular (10-19 days),Campus member (seen during interview)
34:be:00:a8:fa:ae,21,Resident (20+ days),Campus member (seen during interview)
34:be:00:a8:fe:74,4,Occasional (3-9 days),Not seen during interview
34:be:00:b5:53:f7,9,Occasional (3-9 days),Campus member (seen during interview)
34:be:00:b5:cc:95,4,Occasional (3-9 days),Not seen during interview
34:be:00:b6:8b:9b,1,One-time (1 day),Not seen during interview
34:c0:59:28:ab:af,1,One-time (1 day),Not seen during interview
34:ce:00:81:fc:b1,6,Occasional (3-9 days),Not seen during interview
34:ce:00:82:d3:88,8,Occasional (3-9 days),Campus member (seen during interview)
34:ce:00:91:0a:e0,11,Regular (10-19 days),Not seen during interview
34:ce:00:c7:39:3a,26,Resident (20+ days),Campus member (seen during interview)
34:e2:fd:1d:c2:45,5,Occasional (3-9 days),Not seen during interview
34:e2:fd:77:3e:e7,8,Occasional (3-9 days),Campus member (seen during interview)
34:e2:fd:87:68:9d,2,Rare (2 days),Not seen during interview
34:e2:fd:d1:69:2b,2,Rare (2 days),Not seen during interview
34:fc:ef:ab:f1:73,3,Occasional (3-9 days),Not seen during interview
34:fc:ef:dd:b2:2b,12,Regular (10-19 days),Campus member (seen during interview)
34:fc:ef:e4:56:54,9,Occasional (3-9 days),Campus member (seen during interview)
34:fc:ef:e9:b5:73,1,One-time (1 day),Not seen during interview
34:fc:ef:ef:82:c0,1,One-time (1 day),Interview-only (Outsider)
34:fc:ef:ef:9c:11,2,Rare (2 days),Not seen during interview
38:01:95:8e:bc:59,1,One-time (1 day),Not seen during interview
38:01:95:9c:ab:c9,1,One-time (1 day),Not seen during interview
38:0b:40:7d:3d:a8,14,Regular (10-19 days),Campus member (seen during interview)
38:0b:40:7f:07:98,1,One-time (1 day),Not seen during interview
38:0b:40:81:96:22,1,One-time (1 day),Not seen during interview
38:0b:40:81:e7:14,19,Regular (10-19 days),Campus member (seen during interview)
38:0b:40:f6:1f:6c,1,One-time (1 day),Not seen during interview
38:0b:40:fb:90:1c,1,One-time (1 day),Interview-only (Outsider)
38:0b:40:fe:6e:ba,10,Regular (10-19 days),Not seen during interview
38:2d:d1:53:6a:c6,1,One-time (1 day),Interview-only (Outsider)
38:2d:d1:57:9c:8b,1,One-time (1 day),Not seen during interview
38:30:f9:00:fd:a1,1,One-time (1 day),Not seen during interview
38:30:f9:01:03:a0,2,Rare (2 days),Not seen during interview
38:30:f9:01:07:f2,1,One-time (1 day),Interview-only (Outsider)
38:30:f9:01:17:8c,1,One-time (1 day),Not seen during interview
38:30:f9:01:e6:12,1,One-time (1 day),Not seen during interview
38:30:f9:03:77:88,2,Rare (2 days),Not seen during interview
38:30:f9:04:2e:ac,1,One-time (1 day),Not seen during interview
38:30:f9:04:5f:12,1,One-time (1 day),Not seen during interview
38:30:f9:0e:17:a5,2,Rare (2 days),Not seen during interview
38:30:f9:0e:1a:c9,3,Occasional (3-9 days),Not seen during interview
38:30:f9:0e:85:12,24,Resident (20+ days),Campus member (seen during interview)
38:30:f9:0e:88:1f,27,Resident (20+ days),Campus member (seen during interview)
38:30:f9:0e:c9:d1,2,Rare (2 days),Not seen during interview
38:30:f9:0e:e9:d2,9,Occasional (3-9 days),Not seen during interview
38:30:f9:0f:41:a5,1,One-time (1 day),Not seen during interview
38:30:f9:0f:55:e0,7,Occasional (3-9 days),Campus member (seen during interview)
38:30:f9:0f:56:2e,3,Occasional (3-9 days),Not seen during interview
38:30:f9:0f:6a:e9,24,Resident (20+ days),Campus member (seen during interview)
38:30:f9:0f:85:1d,25,Resident (20+ days),Campus member (seen during interview)
38:30:f9:0f:a6:1d,1,One-time (1 day),Interview-only (Outsider)
38:30:f9:0f:c2:fd,1,One-time (1 day),Not seen during interview
38:30:f9:0f:c7:1c,1,One-time (1 day),Not seen during interview
38:30:f9:0f:cf:85,27,Resident (20+ days),Campus member (seen during interview)
38:30:f9:0f:da:e4,2,Rare (2 days),Not seen during interview
38:30:f9:0f:e0:03,11,Regular (10-19 days),Not seen during interview
38:30:f9:10:03:d9,14,Regular (10-19 days),Campus member (seen during interview)
38:30:f9:18:58:51,1,One-time (1 day),Not seen during interview
38:30:f9:19:bd:06,1,One-time (1 day),Interview-only (Outsider)
38:30:f9:19:c4:1b,1,One-time (1 day),Not seen during interview
38:30:f9:22:f2:33,1,One-time (1 day),Not seen during interview
38:30:f9:28:6a:bc,1,One-time (1 day),Not seen during interview
38:30:f9:28:6d:73,18,Regular (10-19 days),Campus member (seen during interview)
38:30:f9:28:89:97,3,Occasional (3-9 days),Not seen during interview
38:30:f9:28:98:12,1,One-time (1 day),Not seen during interview
38:30:f9:28:9c:ee,1,One-time (1 day),Interview-only (Outsider)
38:30:f9:28:c1:11,24,Resident (20+ days),Campus member (seen during interview)
38:30:f9:28:cf:77,23,Resident (20+ days),Campus member (seen during interview)
38:30:f9:2a:10:3c,3,Occasional (3-9 days),Not seen during interview
38:30:f9:2a:4b:af,23,Resident (20+ days),Campus member (seen during interview)
38:30:f9:2a:4d:25,1,One-time (1 day),Interview-only (Outsider)
38:30:f9:2a:b7:ba,20,Resident (20+ days),Campus member (seen during interview)
38:30:f9:2a:dc:5a,1,One-time (1 day),Not seen during interview
38:30:f9:2a:e4:1e,17,Regular (10-19 days),Not seen during interview
38:30:f9:2b:5c:6e,24,Resident (20+ days),Campus member (seen during interview)
38:30:f9:2b:b9:17,11,Regular (10-19 days),Campus member (seen during interview)
38:30:f9:2b:f2:e2,26,Resident (20+ days),Campus member (seen during interview)
38:30:f9:2c:38:33,20,Resident (20+ days),Campus member (seen during interview)
38:30:f9:2c:41:e8,11,Regular (10-19 days),Not seen during interview
38:30:f9:2c:5a:17,9,Occasional (3-9 days),Not seen during interview
38:30:f9:2c:6f:64,1,One-time (1 day),Not seen during interview
38:30:f9:2c:b5:46,8,Occasional (3-9 days),Not seen during interview
38:30:f9:2c:c4:5f,1,One-time (1 day),Interview-only (Outsider)
38:30:f9:2c:da:94,17,Regular (10-19 days),Campus member (seen during interview)
38:30:f9:2c:ff:2b,24,Resident (20+ days),Campus member (seen during interview)
38:30:f9:2d:11:bb,24,Resident (20+ days),Campus member (seen during interview)
38:30:f9:2d:2f:fb,25,Resident (20+ days),Campus member (seen during interview)
38:30:f9:2d:8b:19,3,Occasional (3-9 days),Not seen during interview
38:30:f9:2d:9a:1e,4,Occasional (3-9 days),Not seen during interview
38:30:f9:2d:ac:b4,1,One-time (1 day),Interview-only (Outsider)
38:30:f9:2e:04:a3,1,One-time (1 day),Not seen during interview
38:30:f9:2e:1e:4e,4,Occasional (3-9 days),Not seen during interview
38:30:f9:2f:2d:f9,2,Rare (2 days),Not seen during interview
38:30:f9:32:d6:62,1,One-time (1 day),Interview-only (Outsider)
38:30:f9:32:d7:38,1,One-time (1 day),Interview-only (Outsider)
38:30:f9:32:f7:b8,1,One-time (1 day),Not seen during interview
38:30:f9:33:9d:bc,1,One-time (1 day),Not seen during interview
38:30:f9:33:aa:34,2,Rare (2 days),Campus member (seen during interview)
38:30:f9:33:aa:dd,1,One-time (1 day),Not seen during interview
38:30:f9:34:66:83,1,One-time (1 day),Not seen during interview
38:30:f9:34:ef:db,1,One-time (1 day),Not seen during interview
38:30:f9:36:8a:10,1,One-time (1 day),Not seen during interview
38:30:f9:36:ce:58,1,One-time (1 day),Not seen during interview
38:30:f9:37:8d:f3,11,Regular (10-19 days),Campus member (seen during interview)
38:30:f9:37:9c:38,1,One-time (1 day),Not seen during interview
38:30:f9:45:bb:88,2,Rare (2 days),Not seen during interview
38:30:f9:46:2b:ff,1,One-time (1 day),Not seen during interview
38:30:f9:47:11:96,1,One-time (1 day),Not seen during interview
38:30:f9:51:53:b9,1,One-time (1 day),Not seen during interview
38:30:f9:59:09:96,1,One-time (1 day),Interview-only (Outsider)
38:30:f9:59:65:0e,1,One-time (1 day),Not seen during interview
38:30:f9:5a:bc:b3,8,Occasional (3-9 days),Not seen during interview
38:30:f9:5b:3d:d7,1,One-time (1 day),Not seen during interview
38:30:f9:5c:60:0b,1,One-time (1 day),Not seen during interview
38:30:f9:5d:ae:67,1,One-time (1 day),Not seen during interview
38:30:f9:61:7c:ac,2,Rare (2 days),Not seen during interview
38:30:f9:62:55:92,7,Occasional (3-9 days),Not seen during interview
38:30:f9:62:63:ec,1,One-time (1 day),Interview-only (Outsider)
38:30:f9:62:f9:7f,1,One-time (1 day),Not seen during interview
38:30:f9:63:1b:2a,1,One-time (1 day),Not seen during interview
38:30:f9:63:1c:25,1,One-time (1 day),Interview-only (Outsider)
38:30:f9:63:2b:37,23,Resident (20+ days),Campus member (seen during interview)
38:30:f9:63:48:2e,3,Occasional (3-9 days),Not seen during interview
38:30:f9:63:55:c8,1,One-time (1 day),Interview-only (Outsider)
38:30:f9:63:72:33,18,Regular (10-19 days),Campus member (seen during interview)
38:30:f9:63:ad:48,20,Resident (20+ days),Campus member (seen during interview)
38:30:f9:63:b2:1c,1,One-time (1 day),Interview-only (Outsider)
38:30:f9:63:eb:fb,27,Resident (20+ days),Campus member (seen during interview)
38:30:f9:64:4b:7f,1,One-time (1 day),Not seen during interview
38:30:f9:64:75:b6,1,One-time (1 day),Not seen during interview
38:30:f9:64:88:cd,1,One-time (1 day),Interview-only (Outsider)
38:30:f9:64:c4:41,4,Occasional (3-9 days),Not seen during interview
38:30:f9:64:c4:f4,24,Resident (20+ days),Campus member (seen during interview)
38:30:f9:64:c7:03,1,One-time (1 day),Interview-only (Outsider)
38:30:f9:64:cf:2a,2,Rare (2 days),Interview-only (Outsider)
38:30:f9:64:e2:23,1,One-time (1 day),Not seen during interview
38:30:f9:64:e9:27,23,Resident (20+ days),Campus member (seen during interview)
38:30:f9:65:14:b5,1,One-time (1 day),Not seen during interview
38:30:f9:65:27:71,12,Regular (10-19 days),Not seen during interview
38:30:f9:65:66:8d,1,One-time (1 day),Not seen during interview
38:30:f9:65:66:c2,24,Resident (20+ days),Campus member (seen during interview)
38:30:f9:65:6b:fa,1,One-time (1 day),Not seen during interview
38:30:f9:65:73:34,1,One-time (1 day),Not seen during interview
38:30:f9:65:95:51,2,Rare (2 days),Not seen during interview
38:30:f9:65:c8:0e,1,One-time (1 day),Not seen during interview
38:30:f9:65:dd:c6,1,One-time (1 day),Interview-only (Outsider)
38:30:f9:66:40:6c,21,Resident (20+ days),Campus member (seen during interview)
38:30:f9:74:72:10,23,Resident (20+ days),Campus member (seen during interview)
38:30:f9:74:72:62,5,Occasional (3-9 days),Not seen during interview
38:30:f9:75:3e:70,1,One-time (1 day),Interview-only (Outsider)
38:30:f9:7e:ee:08,1,One-time (1 day),Not seen during interview
38:30:f9:85:a1:63,1,One-time (1 day),Not seen during interview
38:30:f9:85:b8:a1,1,One-time (1 day),Not seen during interview
38:30:f9:86:92:a5,9,Occasional (3-9 days),Campus member (seen during interview)
38:30:f9:8a:3e:87,9,Occasional (3-9 days),Not seen during interview
38:30:f9:8a:47:7a,1,One-time (1 day),Not seen during interview
38:30:f9:90:21:ab,2,Rare (2 days),Not seen during interview
38:30:f9:90:3f:c4,6,Occasional (3-9 days),Campus member (seen during interview)
38:30:f9:90:fc:34,1,One-time (1 day),Not seen during interview
38:30:f9:91:16:93,1,One-time (1 day),Interview-only (Outsider)
38:30:f9:92:a4:d1,1,One-time (1 day),Not seen during interview
38:30:f9:92:ae:ac,1,One-time (1 day),Not seen during interview
38:30:f9:9e:41:a9,20,Resident (20+ days),Campus member (seen during interview)
38:30:f9:9e:88:32,1,One-time (1 day),Not seen during interview
38:53:9c:09:6a:3f,1,One-time (1 day),Not seen during interview
38:53:9c:0f:0d:dd,6,Occasional (3-9 days),Not seen during interview
38:53:9c:0f:70:d4,1,One-time (1 day),Interview-only (Outsider)
38:53:9c:24:f3:0a,16,Regular (10-19 days),Campus member (seen during interview)
38:53:9c:2b:5a:8c,25,Resident (20+ days),Campus member (seen during interview)
38:53:9c:2d:94:70,20,Resident (20+ days),Campus member (seen during interview)
38:53:9c:a0:13:35,3,Occasional (3-9 days),Not seen during interview
38:71:de:10:85:e8,5,Occasional (3-9 days),Not seen during interview
38:71:de:13:90:21,9,Occasional (3-9 days),Not seen during interview
38:71:de:1f:ee:f1,1,One-time (1 day),Interview-only (Outsider)
38:71:de:5f:91:cd,12,Regular (10-19 days),Not seen during interview
38:71:de:6e:a0:9e,26,Resident (20+ days),Campus member (seen during interview)
38:71:de:71:d8:ce,23,Resident (20+ days),Campus member (seen during interview)
38:71:de:b8:fd:5e,1,One-time (1 day),Not seen during interview
38:71:de:c6:f3:6b,1,One-time (1 day),Interview-only (Outsider)
38:71:de:c8:e8:2f,7,Occasional (3-9 days),Campus member (seen during interview)
38:71:de:e2:98:3d,5,Occasional (3-9 days),Not seen during interview
38:71:de:e8:e1:b9,1,One-time (1 day),Interview-only (Outsider)
38:78:62:01:dc:03,20,Resident (20+ days),Campus member (seen during interview)
38:78:62:02:70:63,21,Resident (20+ days),Campus member (seen during interview)
38:78:62:02:7d:ff,20,Resident (20+ days),Campus member (seen during interview)
38:78:62:02:d0:f4,1,One-time (1 day),Not seen during interview
38:78:62:81:49:68,22,Resident (20+ days),Campus member (seen during interview)
38:78:62:c0:e0:9c,25,Resident (20+ days),Campus member (seen during interview)
38:78:62:c8:34:84,1,One-time (1 day),Interview-only (Outsider)
38:89:2c:6c:21:e1,23,Resident (20+ days),Campus member (seen during interview)
38:89:2c:a8:50:43,26,Resident (20+ days),Campus member (seen during interview)
38:89:2c:db:04:84,24,Resident (20+ days),Campus member (seen during interview)
38:a4:ed:e6:78:69,25,Resident (20+ days),Campus member (seen during interview)
38:c9:86:13:9e:96,26,Resident (20+ days),Campus member (seen during interview)
38:c9:86:17:29:c4,7,Occasional (3-9 days),Not seen during interview
38:c9:86:1e:9c:db,4,Occasional (3-9 days),Not seen during interview
38:c9:86:24:2d:c1,25,Resident (20+ days),Campus member (seen during interview)
38:c9:86:24:2d:e0,26,Resident (20+ days),Campus member (seen during interview)
38:c9:86:43:f7:9a,2,Rare (2 days),Not seen during interview
38:c9:86:51:00:d0,24,Resident (20+ days),Campus member (seen during interview)
38:c9:86:70:9c:92,9,Occasional (3-9 days),Campus member (seen during interview)
38:ca:da:05:a9:89,3,Occasional (3-9 days),Not seen during interview
38:ca:da:4d:fc:02,21,Resident (20+ days),Not seen during interview
38:ca:da:50:96:0d,20,Resident (20+ days),Campus member (seen during interview)
38:ca:da:52:0b:76,1,One-time (1 day),Not seen during interview
38:ca:da:54:2e:a5,9,Occasional (3-9 days),Campus member (seen during interview)
38:ca:da:58:d8:50,3,Occasional (3-9 days),Not seen during interview
38:ca:da:61:3d:39,20,Resident (20+ days),Campus member (seen during interview)
38:ca:da:61:ec:31,15,Regular (10-19 days),Not seen during interview
38:ca:da:64:a9:4a,1,One-time (1 day),Interview-only (Outsider)
38:ca:da:69:18:5f,4,Occasional (3-9 days),Not seen during interview
38:ca:da:6b:fd:bd,16,Regular (10-19 days),Campus member (seen during interview)
38:ca:da:6e:45:d9,25,Resident (20+ days),Campus member (seen during interview)
38:ca:da:7c:23:29,15,Regular (10-19 days),Campus member (seen during interview)
38:ca:da:7c:65:20,16,Regular (10-19 days),Campus member (seen during interview)
38:ca:da:7d:5d:1d,24,Resident (20+ days),Campus member (seen during interview)
38:ca:da:82:a8:73,23,Resident (20+ days),Campus member (seen during interview)
38:ca:da:98:76:59,26,Resident (20+ days),Campus member (seen during interview)
38:ca:da:99:ca:2f,2,Rare (2 days),Not seen during interview
38:ca:da:9c:44:8e,25,Resident (20+ days),Campus member (seen during interview)
38:ca:da:9e:3b:bd,25,Resident (20+ days),Campus member (seen during interview)
