id_stayGPS,source_address,nm_prsn,stayGPS_start,stayGPS_end,stayGPS_x,stayGPS_y,stayGPS_duration,matched,wifi_id,spatial_dist,time_overlap
351,94:8b:c1:94:4a:c4,P100,2019-11-07T18:03:25Z,2019-11-07T18:17:35Z,398366.902128285,333239.411439577,850,TRUE,385,45.4563157994776,275
353,9c:f4:8e:10:3c:44,P060,2019-10-23T12:16:25Z,2019-10-23T12:25:25Z,398705.555681524,332936.732349946,540,TRUE,386,11.6663632309023,355
354,9c:f4:8e:10:3c:44,P060,2019-10-29T12:32:02Z,2019-10-29T12:38:42Z,398490.383305509,332875.731706399,400,TRUE,387,27.6822995950669,342
355,9c:f4:8e:10:3c:44,P060,2019-10-30T11:04:43Z,2019-10-30T11:10:18Z,398703.913213889,332930.293498915,335,TRUE,388,9.22522653779873,335
357,9c:f4:8e:10:3c:44,P060,2019-11-04T17:25:48Z,2019-11-04T17:32:08Z,398702.953201797,332934.303893583,380,TRUE,389,8.39463828649014,280
358,a4:5e:60:7b:f8:e0,P072,2019-10-31T11:51:41Z,2019-10-31T12:05:31Z,398701.839111788,332941.655536077,830,TRUE,392,11.8555335815535,380
359,a4:5e:60:7b:f8:e0,P072,2019-11-12T12:29:28Z,2019-11-12T12:33:18Z,398339.842168603,333099.771098374,230,TRUE,393,57.2665084562722,52
361,a8:2b:b9:0e:01:3c,P026,2019-10-22T15:11:19Z,2019-10-22T15:24:34Z,398706.807744202,332942.569022511,795,TRUE,396,15.9037720963644,795
362,a8:2b:b9:0e:01:3c,P026,2019-10-28T16:41:36Z,2019-10-28T16:44:36Z,398719.90783689,332922.913310468,180,TRUE,397,26.6686535000259,104
365,a8:2b:b9:27:e6:dc,P086,2019-10-30T14:32:09Z,2019-10-30T14:35:19Z,398702.595148464,332936.069597714,190,TRUE,404,8.70662047368901,190
367,a8:2b:b9:27:e6:dc,P086,2019-11-08T12:47:08Z,2019-11-08T12:55:38Z,398473.517972072,333023.773982184,510,TRUE,405,32.3780150544798,510
369,a8:2b:b9:42:e5:2a,P032,2019-10-27T14:47:51Z,2019-10-27T14:56:36Z,398700.542161547,332937.340932317,525,TRUE,408,7.74894259505864,196
370,a8:2b:b9:42:e5:2a,P032,2019-10-30T17:24:54Z,2019-10-30T17:29:19Z,398701.078545373,332936.16183731,265,TRUE,409,7.44257197662211,265
371,a8:2b:b9:42:e5:2a,P032,2019-11-01T17:03:16Z,2019-11-01T17:08:11Z,398704.716137468,332940.142450995,295,TRUE,410,12.7385133242457,295
373,a8:2b:b9:42:e5:2a,P032,2019-11-07T22:34:25Z,2019-11-07T22:37:45Z,398649.688790188,333211.704793106,200,TRUE,411,8.60381666072439,200
374,a8:2b:b9:42:e5:2a,P032,2019-11-08T12:17:04Z,2019-11-08T12:21:34Z,398325.964099861,333278.608109931,270,TRUE,412,36.0769439025374,234
375,a8:2b:b9:52:71:a8,P090,2019-10-28T18:07:34Z,2019-10-28T18:10:59Z,398706.002580464,332929.814190728,205,TRUE,414,11.3679983072866,205
376,a8:2b:b9:52:71:a8,P090,2019-10-30T20:20:04Z,2019-10-30T20:25:14Z,398716.043509959,332931.13995954,310,TRUE,416,21.2030709449234,310
377,a8:2b:b9:52:71:a8,P090,2019-11-01T20:22:16Z,2019-11-01T20:25:16Z,398709.957325922,332926.797039332,180,TRUE,418,15.9912311104179,180
378,a8:2b:b9:52:71:a8,P090,2019-11-05T20:52:49Z,2019-11-05T20:55:49Z,398519.018443588,332894.555238862,180,TRUE,420,53.4301365431202,29
379,a8:2b:b9:52:71:a8,P090,2019-11-05T20:56:14Z,2019-11-05T21:04:39Z,398520.290034271,332892.512395683,505,TRUE,420,52.3277805378241,126
381,a8:2b:b9:52:71:a8,P090,2019-11-07T22:23:08Z,2019-11-07T22:29:48Z,398706.012657865,332938.394614902,400,TRUE,421,12.8197669177478,400
382,a8:2b:b9:67:8e:62,P047,2019-10-23T15:18:11Z,2019-10-23T15:23:06Z,398600.433502975,332932.367840056,295,TRUE,426,94.4278645591244,209
383,a8:2b:b9:67:8e:62,P047,2019-11-11T17:11:55Z,2019-11-11T17:15:45Z,398680.300017355,332936.985372615,230,TRUE,427,15.3677524170359,205
389,a8:2b:b9:ea:16:d8,P037,2019-11-05T13:56:13Z,2019-11-05T14:04:53Z,398469.09489615,332914.033871641,520,TRUE,433,33.2293049446223,127
399,a8:2b:b9:eb:56:7e,P069,2019-11-06T14:50:02Z,2019-11-06T14:58:17Z,398367.090221459,332921.942959855,495,TRUE,438,37.7354826074142,260
