source_address,timestamp,x,y
a95f0d81c914c9e2,2019-10-21T10:41:20Z,398249.801501041,333290.851406765
a95f0d81c914c9e2,2019-10-21T10:41:21Z,398250.887623372,333289.925168449
a95f0d81c914c9e2,2019-10-21T10:41:22Z,398251.973745704,333288.998930132
a95f0d81c914c9e2,2019-10-21T10:41:23Z,398253.059868035,333288.072691816
a95f0d81c914c9e2,2019-10-21T10:41:24Z,398254.145990367,333287.1464535
a95f0d81c914c9e2,2019-10-21T10:41:25Z,398255.006767271,333286.213618346
a95f0d81c914c9e2,2019-10-21T10:41:26Z,398255.867544176,333285.280783192
a95f0d81c914c9e2,2019-10-21T10:41:27Z,398256.72832108,333284.347948037
a95f0d81c914c9e2,2019-10-21T10:41:28Z,398257.589097985,333283.415112883
a95f0d81c914c9e2,2019-10-21T10:41:29Z,398258.449874889,333282.482277729
a95f0d81c914c9e2,2019-10-21T10:41:30Z,398259.519815998,333281.633135283
a95f0d81c914c9e2,2019-10-21T10:41:31Z,398260.589757106,333280.783992837
a95f0d81c914c9e2,2019-10-21T10:41:32Z,398261.659698215,333279.934850391
a95f0d81c914c9e2,2019-10-21T10:41:33Z,398262.729639324,333279.085707945
a95f0d81c914c9e2,2019-10-21T10:41:34Z,398263.799580432,333278.236565499
a95f0d81c914c9e2,2019-10-21T10:41:35Z,398264.841074977,333276.983073657
a95f0d81c914c9e2,2019-10-21T10:41:36Z,398265.882569522,333275.729581815
a95f0d81c914c9e2,2019-10-21T10:41:37Z,398266.924064066,333274.476089974
a95f0d81c914c9e2,2019-10-21T10:41:38Z,398267.965558611,333273.222598132
a95f0d81c914c9e2,2019-10-21T10:41:39Z,398269.007053156,333271.96910629
a95f0d81c914c9e2,2019-10-21T10:41:40Z,398269.835697383,333269.508275443
a95f0d81c914c9e2,2019-10-21T10:41:41Z,398270.66434161,333267.047444596
a95f0d81c914c9e2,2019-10-21T10:41:42Z,398271.492985838,333264.586613749
a95f0d81c914c9e2,2019-10-21T10:41:43Z,398272.321630065,333262.125782902
a95f0d81c914c9e2,2019-10-21T10:41:44Z,398273.150274292,333259.664952055
a95f0d81c914c9e2,2019-10-21T10:41:45Z,398273.582662268,333258.844355518
a95f0d81c914c9e2,2019-10-21T10:41:46Z,398274.015050244,333258.023758981
a95f0d81c914c9e2,2019-10-21T10:41:47Z,398274.44743822,333257.203162445
a95f0d81c914c9e2,2019-10-21T10:41:48Z,398274.879826196,333256.382565908
a95f0d81c914c9e2,2019-10-21T10:41:49Z,398275.312214172,333255.561969371
a95f0d81c914c9e2,2019-10-21T10:41:50Z,398275.801373943,333254.666138469
a95f0d81c914c9e2,2019-10-21T10:41:51Z,398276.290533713,333253.770307567
a95f0d81c914c9e2,2019-10-21T10:41:52Z,398276.779693484,333252.874476665
a95f0d81c914c9e2,2019-10-21T10:41:53Z,398277.268853254,333251.978645763
a95f0d81c914c9e2,2019-10-21T10:41:54Z,398277.758013025,333251.082814861
a95f0d81c914c9e2,2019-10-21T10:41:55Z,398278.825235761,333250.216346851
a95f0d81c914c9e2,2019-10-21T10:41:56Z,398279.892458497,333249.349878841
a95f0d81c914c9e2,2019-10-21T10:41:57Z,398280.959681232,333248.483410832
a95f0d81c914c9e2,2019-10-21T10:41:58Z,398282.026903968,333247.616942822
a95f0d81c914c9e2,2019-10-21T10:41:59Z,398283.094126704,333246.750474812
a95f0d81c914c9e2,2019-10-21T10:42:00Z,398284.578443844,333246.039550024
a95f0d81c914c9e2,2019-10-21T10:42:01Z,398286.062760985,333245.328625236
a95f0d81c914c9e2,2019-10-21T10:42:02Z,398287.547078125,333244.617700448
a95f0d81c914c9e2,2019-10-21T10:42:03Z,398289.031395266,333243.90677566
a95f0d81c914c9e2,2019-10-21T10:42:04Z,398290.515712406,333243.195850872
a95f0d81c914c9e2,2019-10-21T10:42:05Z,398292.025097786,333242.740604022
a95f0d81c914c9e2,2019-10-21T10:42:06Z,398293.534483166,333242.285357172
a95f0d81c914c9e2,2019-10-21T10:42:07Z,398295.043868546,333241.830110322
a95f0d81c914c9e2,2019-10-21T10:42:08Z,398296.553253925,333241.374863472
a95f0d81c914c9e2,2019-10-21T10:42:09Z,398298.062639305,333240.919616622
a95f0d81c914c9e2,2019-10-21T10:42:10Z,398299.425211283,333240.746508129
a95f0d81c914c9e2,2019-10-21T10:42:11Z,398300.787783261,333240.573399636
a95f0d81c914c9e2,2019-10-21T10:42:12Z,398302.150355239,333240.400291142
a95f0d81c914c9e2,2019-10-21T10:42:13Z,398303.512927217,333240.227182649
a95f0d81c914c9e2,2019-10-21T10:42:14Z,398304.875499195,333240.054074156
a95f0d81c914c9e2,2019-10-21T10:42:15Z,398306.189693153,333239.964698402
a95f0d81c914c9e2,2019-10-21T10:42:16Z,398307.503887112,333239.875322647
a95f0d81c914c9e2,2019-10-21T10:42:17Z,398308.81808107,333239.785946893
a95f0d81c914c9e2,2019-10-21T10:42:18Z,398310.132275029,333239.696571138
a95f0d81c914c9e2,2019-10-21T10:42:19Z,398311.446468987,333239.607195384
a95f0d81c914c9e2,2019-10-21T10:42:20Z,398312.367943375,333239.688187563
a95f0d81c914c9e2,2019-10-21T10:42:21Z,398313.289417762,333239.769179741
a95f0d81c914c9e2,2019-10-21T10:42:22Z,398314.21089215,333239.85017192
a95f0d81c914c9e2,2019-10-21T10:42:23Z,398315.132366537,333239.931164098
a95f0d81c914c9e2,2019-10-21T10:42:24Z,398316.053840925,333240.012156277
a95f0d81c914c9e2,2019-10-21T10:42:25Z,398316.992943091,333239.801747684
a95f0d81c914c9e2,2019-10-21T10:42:26Z,398317.932045256,333239.591339091
a95f0d81c914c9e2,2019-10-21T10:42:27Z,398318.871147422,333239.380930499
a95f0d81c914c9e2,2019-10-21T10:42:28Z,398319.810249587,333239.170521906
a95f0d81c914c9e2,2019-10-21T10:42:29Z,398320.749351753,333238.960113313
a95f0d81c914c9e2,2019-10-21T10:42:30Z,398321.848707252,333238.436580585
a95f0d81c914c9e2,2019-10-21T10:42:31Z,398322.94806275,333237.913047856
a95f0d81c914c9e2,2019-10-21T10:42:32Z,398324.047418249,333237.389515128
a95f0d81c914c9e2,2019-10-21T10:42:33Z,398325.146773747,333236.865982399
a95f0d81c914c9e2,2019-10-21T10:42:34Z,398326.246129246,333236.342449671
a95f0d81c914c9e2,2019-10-21T10:42:35Z,398327.444663828,333236.066399914
a95f0d81c914c9e2,2019-10-21T10:42:36Z,398328.64319841,333235.790350157
a95f0d81c914c9e2,2019-10-21T10:42:37Z,398329.841732993,333235.5143004
a95f0d81c914c9e2,2019-10-21T10:42:38Z,398331.040267575,333235.238250643
a95f0d81c914c9e2,2019-10-21T10:42:39Z,398332.238802157,333234.962200886
a95f0d81c914c9e2,2019-10-21T10:42:40Z,398334.186302663,333235.324743877
a95f0d81c914c9e2,2019-10-21T10:42:41Z,398336.13380317,333235.687286868
a95f0d81c914c9e2,2019-10-21T10:42:42Z,398338.081303676,333236.049829858
a95f0d81c914c9e2,2019-10-21T10:42:43Z,398340.028804183,333236.412372849
a95f0d81c914c9e2,2019-10-21T10:42:44Z,398341.976304689,333236.77491584
a95f0d81c914c9e2,2019-10-21T10:42:45Z,398343.370202247,333236.673104671
a95f0d81c914c9e2,2019-10-21T10:42:46Z,398344.764099805,333236.571293501
a95f0d81c914c9e2,2019-10-21T10:42:47Z,398346.157997364,333236.469482332
a95f0d81c914c9e2,2019-10-21T10:42:48Z,398347.551894922,333236.367671162
a95f0d81c914c9e2,2019-10-21T10:42:49Z,398348.94579248,333236.265859993
a95f0d81c914c9e2,2019-10-21T10:42:50Z,398349.565303937,333235.253869603
a95f0d81c914c9e2,2019-10-21T10:42:51Z,398350.184815394,333234.241879212
a95f0d81c914c9e2,2019-10-21T10:42:52Z,398350.80432685,333233.229888822
a95f0d81c914c9e2,2019-10-21T10:42:53Z,398351.423838307,333232.217898431
a95f0d81c914c9e2,2019-10-21T10:42:54Z,398352.043349764,333231.205908041
a95f0d81c914c9e2,2019-10-21T10:42:55Z,398352.694223381,333230.245601116
a95f0d81c914c9e2,2019-10-21T10:42:56Z,398353.345096999,333229.285294191
a95f0d81c914c9e2,2019-10-21T10:42:57Z,398353.995970616,333228.324987265
a95f0d81c914c9e2,2019-10-21T10:42:58Z,398354.646844233,333227.36468034
a95f0d81c914c9e2,2019-10-21T10:42:59Z,398355.29771785,333226.404373415
a95f0d81c914c9e2,2019-10-21T10:43:00Z,398357.222445254,333226.036829268
a95f0d81c914c9e2,2019-10-21T10:43:01Z,398359.147172658,333225.669285121
a95f0d81c914c9e2,2019-10-21T10:43:02Z,398361.071900062,333225.301740975
a95f0d81c914c9e2,2019-10-21T10:43:03Z,398362.996627466,333224.934196828
a95f0d81c914c9e2,2019-10-21T10:43:04Z,398364.92135487,333224.566652681
a95f0d81c914c9e2,2019-10-21T10:43:05Z,398367.567912844,333224.045854414
a95f0d81c914c9e2,2019-10-21T10:43:06Z,398370.214470818,333223.525056147
a95f0d81c914c9e2,2019-10-21T10:43:07Z,398372.861028792,333223.004257881
a95f0d81c914c9e2,2019-10-21T10:43:08Z,398375.507586766,333222.483459614
a95f0d81c914c9e2,2019-10-21T10:43:09Z,398378.15414474,333221.962661347
a95f0d81c914c9e2,2019-10-21T10:43:10Z,398379.435592674,333221.584875789
a95f0d81c914c9e2,2019-10-21T10:43:11Z,398380.717040607,333221.207090231
a95f0d81c914c9e2,2019-10-21T10:43:12Z,398381.998488541,333220.829304674
a95f0d81c914c9e2,2019-10-21T10:43:13Z,398383.279936474,333220.451519116
a95f0d81c914c9e2,2019-10-21T10:43:14Z,398384.561384408,333220.073733558
a95f0d81c914c9e2,2019-10-21T10:43:15Z,398385.798800785,333219.306238138
a95f0d81c914c9e2,2019-10-21T10:43:16Z,398387.036217162,333218.538742717
a95f0d81c914c9e2,2019-10-21T10:43:17Z,398388.27363354,333217.771247297
a95f0d81c914c9e2,2019-10-21T10:43:18Z,398389.511049917,333217.003751876
a95f0d81c914c9e2,2019-10-21T10:43:19Z,398390.748466294,333216.236256456
